trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.88}",25,0,-144.9247985256049,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.7744}",20,0,-147.4705020394919,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.681472}",20,0,-70.77602076460195,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.59969536}",25,3,-106.90744114892937,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.5277319168}",20,9,-54.41247946126219,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.46440408678399997}",25,0,-51.48879376297181,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.40867559636991996}",25,0,-156.78617044572783,"{0: 14, 1: 1, 2: 5, 3: 4, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.35963452480552954}",30,5,-48.35966007656104,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.316478381828866}",20,6,-16.587534725759326,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.2785009760094021}",20,0,-66.75374034262379,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.24508085888827386}",20,12,16.255264658975506,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.215671155821681}",20,0,-3.266970781436946,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.1897906171230793}",25,0,-42.093591091902276,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.16701574306830977}",25,10,-27.415804502301228,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.1469738539001126}",25,5,-2.8914382975633264,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.1293369914320991}",30,14,32.228302314248474,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1138165524602472}",20,8,20.442969141061237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.10015856616501755}",25,17,15.193483686598965,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.08813953822521545}",25,11,25.730659658120004,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.07756279363818959}",20,11,14.58672872523951,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.06825525840160684}",20,6,19.147580366458136,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.060064627393414026}",25,17,14.731267449405948,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.05285687210620434}",20,0,32.47056573872287,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.04651404745345982}",25,14,21.48742840218208,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,3,27.83022950426487,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,19.468835333237188,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,12.24057083153584,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,23.337808890837035,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,14,10.801483416451196,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,15,18.90352752412691,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,15,9.007072533939368,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,11,17.095187456296728,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,11,17.303315510562317,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,16,17.701292647891236,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
