trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-96,-672.2100010014524,"{0: 73, 1: 9, 2: 19, 3: 3, 4: 12}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,10,-26.045047576823027,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,-48,-518.7064373976267,"{0: 43, 1: 8, 2: 16, 3: 3, 4: 8}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-98,-574.451869813827,"{0: 82, 1: 9, 2: 20, 3: 2, 4: 10}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,5,-0.7828763658498197,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-509.96945128638515,"{0: 72, 1: 12, 2: 27, 3: 4, 4: 5}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-49,-316.53900318109015,"{0: 49, 1: 6, 2: 10, 3: 5, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-100,-677.93895491288,"{0: 69, 1: 14, 2: 22, 3: 6, 4: 9}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-42,-260.2839501074883,"{0: 36, 1: 10, 2: 11, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-100,-909.0509740708032,"{0: 70, 1: 10, 2: 23, 3: 8, 4: 14}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,-100,-553.3101440564044,"{0: 82, 1: 14, 2: 15, 3: 6, 4: 8}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-46,-312.2496863588331,"{0: 39, 1: 10, 2: 10, 3: 3, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,-45,-322.5231494219756,"{0: 47, 1: 6, 2: 9, 3: 3, 4: 5}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-20,-120.77575234053121,"{0: 31, 1: 6, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,-100,-692.788778753256,"{0: 73, 1: 10, 2: 22, 3: 4, 4: 11}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,-37,-359.2323453314583,"{0: 36, 1: 10, 2: 14, 3: 3, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,-44,-456.4150124371109,"{0: 38, 1: 3, 2: 18, 3: 4, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-100,-653.3933552227254,"{0: 71, 1: 14, 2: 21, 3: 4, 4: 10}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-64,-352.2297693534511,"{0: 52, 1: 10, 2: 14, 3: 4, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,12,-76.157275228452,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,-30,-100.49505557360796,"{0: 39, 1: 1, 2: 8, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-28,-302.00228665881684,"{0: 32, 1: 4, 2: 11, 3: 1, 4: 5}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-100,-541.6022291956908,"{0: 78, 1: 12, 2: 18, 3: 4, 4: 8}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-25,-162.25675007957793,"{0: 27, 1: 3, 2: 13, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,-7,-230.62926913087648,"{0: 22, 1: 5, 2: 4, 3: 2, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-97,-560.634987208028,"{0: 74, 1: 13, 2: 25, 3: 2, 4: 8}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-30,-405.9910101095014,"{0: 27, 1: 1, 2: 12, 3: 4, 4: 6}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-21,-142.9034328227228,"{0: 27, 1: 3, 2: 9, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,-98,-390.5081547720305,"{0: 86, 1: 9, 2: 25, 3: 5, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-47,-414.2222071636575,"{0: 37, 1: 8, 2: 19, 3: 4, 4: 4}",0
